,district_name,facility_name,title,salary_grade,num_positions,filled_positions,vacancies,percent_filled
0,ABIM,ABIM DHO's Office,District Health Officer,U1SE,1,1,0,100.0%
1,ABIM,ABIM DHO's Office,Assistant District Health Officer (Environmental Health),U1E,1,0,1,0.0%
2,ABIM,ABIM DHO's Office,Assistant District Health Officer - Maternal and Child Health,U2(SC),1,1,0,100.0%
3,ABIM,ABIM DHO's Office,Senior Health Educator,U3(SC),1,0,1,0.0%
4,ABIM,ABIM DHO's Office,Bio-Statistician,U4(SC),1,1,0,100.0%
5,ABIM,ABIM DHO's Office,Senior Environmental Health Officer,U4(SC),1,0,1,0.0%
6,ABIM,ABIM DHO's Office,Health Inspector,U5(SC),0,2,-2,
7,ABIM,ABIM DHO's Office,Stenographer Secretary,U5U,1,0,1,0.0%
8,ABIM,ABIM DHO's Office,Cold Chain Technician,U6U,1,1,0,100.0%
9,ABIM,ABIM DHO's Office,Stores Assistant,U7U,1,1,0,100.0%
10,ABIM,ABIM DHO's Office,Office Typist,U7L,0,1,-1,
11,ABIM,ABIM DHO's Office,Car Driver,U8U,1,0,1,0.0%
12,ABIM,ABIM DHO's Office,Office Attendant,U8L,1,0,1,0.0%
13,ABIM,ABIM HOSPITAL,Medical Officer Special Grade - General Surgery,U2(SC),1,0,1,0.0%
14,ABIM,ABIM HOSPITAL,Medical Officer Special Grade - Internal Medicine,U2(SC),1,0,1,0.0%
15,ABIM,ABIM HOSPITAL,Medical Officer Special Grade - Obstetrics and Gynaecology,U2(SC),1,0,1,0.0%
16,ABIM,ABIM HOSPITAL,Medical Officer Special Grade - Paediatrics,U2(SC),1,0,1,0.0%
17,ABIM,ABIM HOSPITAL,Medical Officer Special Grade - Public Health,U2(SC),1,0,1,0.0%
18,ABIM,ABIM HOSPITAL,Principal Medical Officer,U2(SC),1,0,1,0.0%
19,ABIM,ABIM HOSPITAL,Principal Nursing Officer - Nursing,U2(SC),1,0,1,0.0%
20,ABIM,ABIM HOSPITAL,Senior Medical Officer,U3(SC),1,0,1,0.0%
21,ABIM,ABIM HOSPITAL,Senior Hospital Administrator,U3L,1,0,1,0.0%
22,ABIM,ABIM HOSPITAL,Dental Surgeon,U4(SC),1,0,1,0.0%
23,ABIM,ABIM HOSPITAL,Health Educator,U4(SC),1,0,1,0.0%
24,ABIM,ABIM HOSPITAL,Medical Officer,U4(SC),4,3,1,75.0%
25,ABIM,ABIM HOSPITAL,Nursing Officer - Psychiatry,U4(SC),1,0,1,0.0%
26,ABIM,ABIM HOSPITAL,Nutritionist,U4(SC),1,1,0,100.0%
27,ABIM,ABIM HOSPITAL,Pharmacist,U4(SC),1,0,1,0.0%
28,ABIM,ABIM HOSPITAL,Public Health Nurse,U4(SC),1,1,0,100.0%
29,ABIM,ABIM HOSPITAL,Senior Medical Clinical Officer,U4(SC),1,5,-4,500.0%
30,ABIM,ABIM HOSPITAL,Senior Medical Laboratory Technologist,U4(SC),1,0,1,0.0%
31,ABIM,ABIM HOSPITAL,Senior Nursing Officer,U4(SC),5,2,3,40.0%
32,ABIM,ABIM HOSPITAL,Hospital Administrator,U4L,1,1,0,100.0%
33,ABIM,ABIM HOSPITAL,Human Resource Officer,U4L,1,0,1,0.0%
34,ABIM,ABIM HOSPITAL,Medical Social Worker,U4L,1,1,0,100.0%
35,ABIM,ABIM HOSPITAL,Supplies Officer,U4L,1,0,1,0.0%
36,ABIM,ABIM HOSPITAL,Anaesthetic officer,U5(SC),3,0,3,0.0%
37,ABIM,ABIM HOSPITAL,Assistant Entomological Officer,U5(SC),1,0,1,0.0%
38,ABIM,ABIM HOSPITAL,Assistant Health Educator,U5(SC),1,0,1,0.0%
39,ABIM,ABIM HOSPITAL,Dispenser,U5(SC),2,1,1,50.0%
40,ABIM,ABIM HOSPITAL,Health Inspector,U5(SC),1,0,1,0.0%
41,ABIM,ABIM HOSPITAL,Medical Clinical Officer,U5(SC),5,3,2,60.0%
42,ABIM,ABIM HOSPITAL,Medical Laboratory Technician,U5(SC),2,3,-1,150.0%
43,ABIM,ABIM HOSPITAL,Medical Laboratory Technologist,U5(SC),0,1,-1,
44,ABIM,ABIM HOSPITAL,Medical Laboratory Technologist,U5(SC),1,1,0,100.0%
45,ABIM,ABIM HOSPITAL,Nursing Officer - Midwifery,U5(SC),3,5,-2,166.7%
46,ABIM,ABIM HOSPITAL,Nursing Officer - Nursing,U5(SC),17,15,2,88.2%
47,ABIM,ABIM HOSPITAL,Occupational therapist,U5(SC),1,0,1,0.0%
48,ABIM,ABIM HOSPITAL,Ophthalmic Clinical Officer,U5(SC),1,0,1,0.0%
49,ABIM,ABIM HOSPITAL,Orthopaedic Clinical Officer,U5(SC),2,2,0,100.0%
50,ABIM,ABIM HOSPITAL,Physiotherapist,U5(SC),1,0,1,0.0%
51,ABIM,ABIM HOSPITAL,Psychiatric Clinical Officer,U5(SC),1,1,0,100.0%
52,ABIM,ABIM HOSPITAL,Public Health Dental Officer,U5(SC),2,1,1,50.0%
53,ABIM,ABIM HOSPITAL,Radiographer,U5(SC),2,1,1,50.0%
54,ABIM,ABIM HOSPITAL,Senior Accounts Assistant,U5U,1,1,0,100.0%
55,ABIM,ABIM HOSPITAL,Stenographer Secretary,U5U,1,1,0,100.0%
56,ABIM,ABIM HOSPITAL,Theatre Assistant,U6U,0,2,-2,
57,ABIM,ABIM HOSPITAL,Accounts Assistant,U7U,2,0,2,0.0%
58,ABIM,ABIM HOSPITAL,Enrolled Midwife,U7U,25,11,14,44.0%
59,ABIM,ABIM HOSPITAL,Enrolled Nurse,U7U,46,34,12,73.9%
60,ABIM,ABIM HOSPITAL,Enrolled Nurse - Psychiatry,U7U,2,1,1,50.0%
61,ABIM,ABIM HOSPITAL,Health Assistant,U7U,0,1,-1,
62,ABIM,ABIM HOSPITAL,Health Information Assistant,U7U,1,2,-1,200.0%
63,ABIM,ABIM HOSPITAL,Medical Laboratory Assistant,U7U,1,1,0,100.0%
64,ABIM,ABIM HOSPITAL,Medical Records Assistant,U7U,0,1,-1,
65,ABIM,ABIM HOSPITAL,Records Assistant,U7U,2,0,2,0.0%
66,ABIM,ABIM HOSPITAL,Stores Assistant,U7U,2,2,0,100.0%
67,ABIM,ABIM HOSPITAL,Office Typist,U7L,1,0,1,0.0%
68,ABIM,ABIM HOSPITAL,Anaesthetic Attendant,U8U,2,2,0,100.0%
69,ABIM,ABIM HOSPITAL,Artisan Mate,U8U,3,3,0,100.0%
70,ABIM,ABIM HOSPITAL,Car Driver,U8U,2,1,1,50.0%
71,ABIM,ABIM HOSPITAL,Dental Attendant,U8U,1,1,0,100.0%
72,ABIM,ABIM HOSPITAL,Nursing Assistant,U8U,15,19,-4,126.7%
73,ABIM,ABIM HOSPITAL,Askari (Security Guard),U8L,2,5,-3,250.0%
74,ABIM,ABIM HOSPITAL,Cook,U8L,3,3,0,100.0%
75,ABIM,ABIM HOSPITAL,Darkroom Attendant,U8L,1,1,0,100.0%
76,ABIM,ABIM HOSPITAL,Mortuary Attendant,U8L,2,1,1,50.0%
77,ABIM,ABIM HOSPITAL,Porter,U8L,0,1,-1,
78,ABIM,ADEA Health Centre II,Enrolled Midwife,U7U,1,1,0,100.0%
79,ABIM,ADEA Health Centre II,Enrolled Nurse,U7U,1,1,0,100.0%
80,ABIM,ADEA Health Centre II,Health Assistant,U7U,1,0,1,0.0%
81,ABIM,ADEA Health Centre II,Nursing Assistant,U8U,2,2,0,100.0%
82,ABIM,ADEA Health Centre II,Askari (Security Guard),U8L,2,1,1,50.0%
83,ABIM,ADEA Health Centre II,Porter,U8L,2,1,1,50.0%
84,ABIM,ALEREK Health Centre III,Senior Medical Clinical Officer,U4(SC),1,1,0,100.0%
85,ABIM,ALEREK Health Centre III,Medical Clinical Officer,U5(SC),1,1,0,100.0%
86,ABIM,ALEREK Health Centre III,Medical Laboratory Technician,U5(SC),1,0,1,0.0%
