,district_name,facility_name,title,salary_grade,num_positions,filled_positions,vacancies,percent_filled
0,APAC,Biashara Health Centre II,Medical Clinical Officer,U4(SC),0,1,-1,NA
1,APAC,Biashara Health Centre II,Nursing Officer,U4(SC),0,1,-1,NA
2,APAC,Biashara Health Centre II,Nursing Officer - Midwifery,U4(SC),0,1,-1,NA
3,APAC,Biashara Health Centre II,Nursing Officer - Psychiatry,U4(SC),0,1,-1,NA
4,APAC,Biashara Health Centre II,Senior Clinical Officer,U4(SC),0,1,-1,NA
5,APAC,Biashara Health Centre II,Medical Laboratory Technician,U5(SC),0,1,-1,NA
6,APAC,Biashara Health Centre II,Health Information Officer,U5U,0,1,-1,NA
7,APAC,Biashara Health Centre II,Senior Health Assistant,U6U,0,1,-1,NA
8,APAC,Biashara Health Centre II,Enrolled Midwife,U7U,1,1,0,NA
9,APAC,Biashara Health Centre II,Enrolled Nurse,U7U,1,1,0,NA
10,APAC,Biashara Health Centre II,Enrolled Psychiatric Nurse,U7U,0,1,-1,NA
11,APAC,Biashara Health Centre II,Health Assistant,U7U,1,1,0,NA
12,APAC,Biashara Health Centre II,Health Information Assistant,U7U,0,1,-1,NA
13,APAC,Biashara Health Centre II,Medical Laboratory Assistant,U7U,0,1,-1,NA
14,APAC,Biashara Health Centre II,Askari (Security Guard),U8U,2,1,1,NA
15,APAC,Biashara Health Centre II,Nursing Assistant,U8U,2,2,0,NA
16,APAC,Biashara Health Centre II,Porter,U8L,2,2,0,NA
17,ARUA,Arua Municipal Head quarters,Informatics,,0,1,-1,NA
18,ARUA,Arua Municipal Head quarters,Informatics,,0,1,-1,NA
19,ARUA,Arua Municipal Head quarters,Principal Medical Officer,U2(SC),1,1,0,NA
20,ARUA,Arua Municipal Head quarters,Principal Education Officer,U2L,0,1,-1,NA
21,ARUA,Arua Municipal Head quarters,Principal Health Inspector,U3(SC),1,1,0,NA
22,ARUA,Arua Municipal Head quarters,Senior Medical Clinical officer,U3(SC),0,1,-1,NA
23,ARUA,Arua Municipal Head quarters,Senior Medical Officer,U3(SC),0,1,-1,NA
24,ARUA,Arua Municipal Head quarters,Senior Nursing Officer,U3(SC),0,1,-1,NA
25,ARUA,Arua Municipal Head quarters,Health Educator,U4(SC),1,1,0,NA
26,ARUA,Arua Municipal Head quarters,Medical Clinical Officer,U4(SC),0,1,-1,NA
27,ARUA,Arua Municipal Head quarters,Medical Officer,U4(SC),0,1,-1,NA
28,ARUA,Arua Municipal Head quarters,Senior Health Inspector,U4(SC),0,1,-1,NA
29,ARUA,Arua Municipal Head quarters,Senior Health Inspector,U4(SC),1,1,0,NA
30,ARUA,Arua Municipal Head quarters,Vector Control Officer,U4(SC),0,1,-1,NA
31,ARUA,Arua Municipal Head quarters,Data Manager,U4U,0,1,-1,NA
32,ARUA,Arua Municipal Head quarters,Assistant Health Educator,U5(SC),0,1,-1,NA
33,ARUA,Arua Municipal Head quarters,Health Inspector,U5(SC),3,1,2,NA
34,ARUA,Arua Municipal Head quarters,Stenographer Secretary,U5U,0,1,-1,NA
35,ARUA,Arua Municipal Head quarters,Pool Stenographer,U6U,1,1,0,NA
36,ARUA,Arua Municipal Head quarters,Enrolled Midwife,U7U,0,1,-1,NA
37,ARUA,Arua Municipal Head quarters,Enrolled Nurse,U7U,0,1,-1,NA
38,ARUA,Arua Municipal Head quarters,Health Assistant,U7U,3,1,2,NA
39,ARUA,Arua Municipal Head quarters,Health Information Assistant,U7U,0,1,-1,NA
40,ARUA,Arua Municipal Head quarters,Medical Laboratory Assistant,U7U,0,1,-1,NA
41,ARUA,Arua Municipal Head quarters,Medical Records Assistant,U7U,0,1,-1,NA
42,ARUA,Arua Municipal Head quarters,Records Assistant,U7U,0,1,-1,NA
43,ARUA,Arua Municipal Head quarters,Cold Chain Assistant,U7L,0,1,-1,NA
44,ARUA,Arua Municipal Head quarters,Office Typist,U7L,0,1,-1,NA
45,ARUA,Arua Municipal Head quarters,Askari (Security Guard),U8U,0,1,-1,NA
46,ARUA,Arua Municipal Head quarters,Car Driver,U8U,1,1,0,NA
47,ARUA,Arua Municipal Head quarters,Nursing Assistant,U8U,0,1,-1,NA
48,ARUA,Arua Municipal Head quarters,Mortuary Attendant,U8L,0,1,-1,NA
49,ARUA,Arua Municipal Head quarters,Office Attendant,U8L,1,1,0,NA
