,district_name,facility_name,title,salary_grade,num_positions,filled_positions,vacancies,percent_filled
0,AMOLATAR,Protestant General Hospital,Senior Nursing Officer,,5,0,-5,NA
1,AMOLATAR,Protestant General Hospital,Principal Nursing Officer,,1,0,-1,NA
2,AMOLATAR,Protestant General Hospital,Physiotherapist,,1,0,-1,NA
3,AMOLATAR,Protestant General Hospital,Senior Clinical Officer,,1,1,0,NA
4,AMOLATAR,Protestant General Hospital,Enrolled Psychiatric Nurse,,2,0,-2,NA
5,AMOLATAR,Protestant General Hospital,Occupational Therapist,,1,0,-1,NA
6,AMOLATAR,Protestant General Hospital,Nursing Officer (Nursing),,17,0,-17,NA
7,AMOLATAR,Protestant General Hospital,Senior Medical Officer,,1,0,-1,NA
8,AMOLATAR,Protestant General Hospital,Enrolled Nurse,,46,1,-45,NA
9,AMOLATAR,Protestant General Hospital,Clinical Officer,,5,2,-3,NA
10,AMOLATAR,Protestant General Hospital,Radiographer,,2,0,-2,NA
11,AMOLATAR,Protestant General Hospital,Ophthalmic Clinical Officer,,1,0,-1,NA
12,AMOLATAR,Protestant General Hospital,Anaesthetic Assistant,,2,0,-2,NA
13,AMOLATAR,Protestant General Hospital,Laboratory Assistant,,1,1,0,NA
14,AMOLATAR,Protestant General Hospital,Theatre Assistant,,0,0,0,NA
15,AMOLATAR,Protestant General Hospital,Health Inspector,,1,0,-1,NA
16,AMOLATAR,Protestant General Hospital,Health Educator,,1,0,-1,NA
17,AMOLATAR,Protestant General Hospital,Anaesthetic Officer,,3,0,-3,NA
18,AMOLATAR,Protestant General Hospital,Medical Officer Special Grade (Obs Gyne),,1,0,-1,NA
19,AMOLATAR,Protestant General Hospital,Enrolled Midwife,,25,0,-25,NA
20,AMOLATAR,Protestant General Hospital,Nutritionist,,1,0,-1,NA
21,AMOLATAR,Protestant General Hospital,Orthopedic Officer,,2,0,-2,NA
22,AMOLATAR,Protestant General Hospital,Medical Officer Special Grade (Community),,1,0,-1,NA
23,AMOLATAR,Protestant General Hospital,Senior Laboratory Technologist,,1,0,-1,NA
24,AMOLATAR,Protestant General Hospital,Laboratory Technician,,2,1,-1,NA
25,AMOLATAR,Protestant General Hospital,Principal Medical Officer,,1,0,-1,NA
26,AMOLATAR,Protestant General Hospital,Medical Officer Special Grade (Internal Medicine),,1,0,-1,NA
27,AMOLATAR,Protestant General Hospital,Medical Officer Special Grade (Surgery),,1,0,-1,NA
28,AMOLATAR,Protestant General Hospital,Medical Officer Special Grade (Paediatrics),,1,0,-1,NA
29,AMOLATAR,Protestant General Hospital,Public Health Nurse,,1,0,-1,NA
30,AMOLATAR,Protestant General Hospital,Psychiatric Clinical Officer,,1,0,-1,NA
31,AMOLATAR,Protestant General Hospital,Nursing Officer (Psychiatry),,3,0,-3,NA
32,AMOLATAR,Protestant General Hospital,Nursing Officer (Midwifery),,1,0,-1,NA
33,AMOLATAR,Protestant General Hospital,Assistant Entomological Officer (Med),,1,0,-1,NA
34,AMOLATAR,Protestant General Hospital,Medical Officer,,4,2,-2,NA
35,AMOLATAR,Protestant General Hospital,Laboratory Technologist,,1,0,-1,NA
36,AMOLATAR,Protestant General Hospital,Principal Medical Officer,U2(SC),1,0,-1,NA
37,AMOLATAR,Protestant General Hospital,Medical Officer Special Grade - Internal Medicine,U2(SC),1,0,-1,NA
38,AMOLATAR,Protestant General Hospital,Medical Officer Special Grade - General Surgery,U2(SC),1,0,-1,NA
39,AMOLATAR,Protestant General Hospital,Medical Officer Special Grade - Obstetrics & Gynaecology,U2(SC),1,0,-1,NA
40,AMOLATAR,Protestant General Hospital,Medical Officer Special Grade - Paediatrics,U2(SC),1,0,-1,NA
41,AMOLATAR,Protestant General Hospital,Medical Officer Special Grade - Public Health,U2(SC),1,0,-1,NA
42,AMOLATAR,Protestant General Hospital,Principal Nursing Officer,U2(SC),1,0,-1,NA
43,AMOLATAR,Protestant General Hospital,Senior Medical Officer,U3(SC),1,0,-1,NA
44,AMOLATAR,Protestant General Hospital,Senior Medical Clinical officer,U3(SC),1,0,-1,NA
45,AMOLATAR,Protestant General Hospital,Medical Officer,U4(SC),4,0,-4,NA
46,AMOLATAR,Protestant General Hospital,Senior Assistant Nursing Officer,U4(SC),5,0,-5,NA
47,AMOLATAR,Protestant General Hospital,Public/Community Health Nurse,U4(SC),1,0,-1,NA
48,AMOLATAR,Protestant General Hospital,Ophthalmic clinical Officer,U4(SC),1,0,-1,NA
49,AMOLATAR,Protestant General Hospital,Medical Clinical officer,U4(SC),5,0,-5,NA
50,AMOLATAR,Protestant General Hospital,Orthopaedic Officer,U4(SC),2,0,-2,NA
