,district_name,facility_name,title,salary_grade,num_positions,filled_positions,vacancies,percent_filled
0,ARUA,ARUA REGIONAL REFERAL HOSPITAL,Hospital Director,U1S,1,0,1,0.0%
1,ARUA,ARUA REGIONAL REFERAL HOSPITAL,Consultant  - Pathology,U1SE,1,0,1,0.0%
2,ARUA,ARUA REGIONAL REFERAL HOSPITAL,Consultant - Anaesthesia,U1SE,1,0,1,0.0%
3,ARUA,ARUA REGIONAL REFERAL HOSPITAL,"Consultant - Ear, Nose and Throat (ENT)",U1SE,1,0,1,0.0%
4,ARUA,ARUA REGIONAL REFERAL HOSPITAL,Consultant - Medicine,U1SE,1,0,1,0.0%
5,ARUA,ARUA REGIONAL REFERAL HOSPITAL,Consultant - Obstetrics and Gynaecology,U1SE,1,1,0,100.0%
6,ARUA,ARUA REGIONAL REFERAL HOSPITAL,Consultant - Opthalmology,U1SE,1,1,0,100.0%
7,ARUA,ARUA REGIONAL REFERAL HOSPITAL,Consultant - Orthopaedics,U1SE,1,0,1,0.0%
8,ARUA,ARUA REGIONAL REFERAL HOSPITAL,Consultant - Paediatrics,U1SE,1,0,1,0.0%
9,ARUA,ARUA REGIONAL REFERAL HOSPITAL,Consultant - Psychiatry,U1SE,1,1,0,100.0%
10,ARUA,ARUA REGIONAL REFERAL HOSPITAL,Consultant - Public Health,U1SE,1,0,1,0.0%
11,ARUA,ARUA REGIONAL REFERAL HOSPITAL,Consultant - Radiology,U1SE,1,0,1,0.0%
12,ARUA,ARUA REGIONAL REFERAL HOSPITAL,Senior Consultant - Obstetrics and Gynaecology,U1SE,1,0,1,0.0%
13,ARUA,ARUA REGIONAL REFERAL HOSPITAL,Senior Consultant - Paediatrics,U1SE,1,0,1,0.0%
14,ARUA,ARUA REGIONAL REFERAL HOSPITAL,Medical Officer Special Grade - Dentistry,U2(SC),1,0,1,0.0%
15,ARUA,ARUA REGIONAL REFERAL HOSPITAL,"Medical Officer Special Grade - Ear, Nose and Throat",U2(SC),1,0,1,0.0%
16,ARUA,ARUA REGIONAL REFERAL HOSPITAL,Medical Officer Special Grade - General Surgery,U2(SC),1,0,1,0.0%
17,ARUA,ARUA REGIONAL REFERAL HOSPITAL,Medical Officer Special Grade - Medicine,U2(SC),1,0,1,0.0%
18,ARUA,ARUA REGIONAL REFERAL HOSPITAL,Medical Officer Special Grade - Obstetrics and Gynaecology,U2(SC),1,0,1,0.0%
19,ARUA,ARUA REGIONAL REFERAL HOSPITAL,Medical Officer Special Grade - Ophthalmology,U2(SC),1,0,1,0.0%
20,ARUA,ARUA REGIONAL REFERAL HOSPITAL,Medical Officer Special Grade - Orthopaedics,U2(SC),1,0,1,0.0%
21,ARUA,ARUA REGIONAL REFERAL HOSPITAL,Medical Officer Special Grade - Paediatrics,U2(SC),1,0,1,0.0%
22,ARUA,ARUA REGIONAL REFERAL HOSPITAL,Medical Officer Special Grade - Psychiatry,U2(SC),1,0,1,0.0%
23,ARUA,ARUA REGIONAL REFERAL HOSPITAL,Medical Officer Special Grade - Public Health,U2(SC),1,0,1,0.0%
24,ARUA,ARUA REGIONAL REFERAL HOSPITAL,Medical Officer Special Grade - Radiology,U2(SC),1,0,1,0.0%
25,ARUA,ARUA REGIONAL REFERAL HOSPITAL,Principal Nursing Officer,U2(SC),1,0,1,0.0%
26,ARUA,ARUA REGIONAL REFERAL HOSPITAL,Principal Psychiatric Clinical Officer,U2(SC),1,0,1,0.0%
27,ARUA,ARUA REGIONAL REFERAL HOSPITAL,Senior Principal Nursing Officer,U2(SC),1,0,1,0.0%
28,ARUA,ARUA REGIONAL REFERAL HOSPITAL,Principal Hospital Administrator,U2L,1,0,1,0.0%
29,ARUA,ARUA REGIONAL REFERAL HOSPITAL,Principal Anaesthetic Officer,U3(SC),1,0,1,0.0%
30,ARUA,ARUA REGIONAL REFERAL HOSPITAL,Principal Clinical Officer,U3(SC),1,1,0,100.0%
