db_id,id_within_district,HSD,Name,Level,Authority,Ownership,NHPI Code,HSDT Code
1,1,Labwor HSD,Abim  General Hospital,Hospital,MOH,Govt,HFA6Q7GB2,SCL79ULU0/PA95VLAL8/8001
2,2,Labwor HSD,Adea Health Centre II,HC II,MOH,Govt,HFZW8MEX9,SC5AFV6Y8/PALG8WW26/8001
3,3,Labwor HSD,Alerek Health Centre III,HC III,MOH,Govt,HF7929IC0,SC6R9JA36/PAPF4WK97/8001
4,4,Labwor HSD,Amita Health Centre II,HC II,MOH,Govt,HF6UQL949,SC4CK4A96/PAU7GHJT5/8001
5,5,Labwor HSD,Atunga Health Centre II,HC II,MOH,Govt,HFVQXNJN9,SC4CK4A96/PA9LUCGP9/8001
6,6,Labwor HSD,Awach Health Centre II,HC II,MOH,Govt,HF5ZOVFS0,SCWMDZEF2/PAL7LLZT2/8001
7,7,Labwor HSD,Gangming Health Centre II,HC II,MOH,Govt,HFX6RDUQ8,SCWMDZEF2/PA5JNW5M5/8001
8,8,Labwor HSD,Kanu Health Centre II,HC II,UPMB,PNFP,HFHGZKEV7,SC4CK4A96/PAA9PZSO4/8001
9,9,Labwor HSD,Katabok (Abim) Health Centre II,HC II,MOH,Govt,HFZE86YY7,SC5AFV6Y8/PAPPIFJD6/8001
10,10,Labwor HSD,Kiru Health Centre II,HC II,MOH,Govt,HFCASI731,SCL79ULU0/PAL37W5L0/8001
11,11,Labwor HSD,Koya Health Centre II,HC II,MOH,Govt,HFVD3LFQ2,SC6R9JA36/PAA9JFIN4/8001
12,12,Labwor HSD,Morulem Health Centre III,HC III,UEC (UCMB),PNFP,HFJ5TUM41,SC5AFV6Y8/PAZKYRXI4/8001
13,13,Labwor HSD,Nyakwae Health Centre III,HC III,MOH,Govt,HF4XSMI82,SCRLNVFI6/PASN8DKI9/8001
14,14,Labwor HSD,Obolokome Health Centre II,HC II,MOH,Govt,HFAODZK81,SC5AFV6Y8/PAYDHLFX0/8001
15,15,Labwor HSD,Opopongo Health Centre II,HC II,MOH,Govt,HFTNOJR68,SCRLNVFI6/PAWP7NGZ4/8001
16,16,Labwor HSD,Oreta Health Centre II,HC II,MOH,Govt,HFLIBIIU3,SCRLNVFI6/PA6TKLRZ6/8001
17,17,Labwor HSD,Orwamuge Health Centre III,HC III,MOH,Govt,HF7SPW7I5,SCWMDZEF2/PA6OI5R51/8001
18,18,Labwor HSD,Oscar Military Battalion Health Centre II,HC II,UPDF,Govt,HF8TSKOJ9,SCL79ULU0/PAYR6IVU0/8001
19,19,Labwor HSD,Pupu Kamuya Health Centre II,HC II,MOH,Govt,HFQMHTLN7,SCRLNVFI6/PALLXN8R0/8001
20,20,Labwor HSD,Wilela Health Centre II,HC II,MOH,Govt,HFNOHLPF9,SC6R9JA36/PAGG6XUU8/8001
21,1,East Moyo HSD,Adjumani  General Hospital,Hospital,MOH,Govt,HFGKGELG3,SCUEWLBS0/PAPIJ5KN7/8003
22,2,East Moyo HSD,Adjumani Alere Health Centre II,HC II,MOH,Govt,HFCPOYEB2,SCE8ALXE1/PAPADWG96/8001
23,3,East Moyo HSD,Adjumani Mission Health Centre III,HC III,UEC (UCMB),PNFP,HF3PW2N32,SCUEWLBS0/PAPIJ5KN7/8002
24,4,East Moyo HSD,Adjumani Police Health Centre II,HC II,UPF,Govt,HFQJH6OO1,SCUEWLBS0/PAUV8NKG4/8001
25,5,East Moyo HSD,Adjumani Prisons Health Centre II,HC II,UPS,Govt,HFWKFK9Z2,SCTVTLD94/PAM36ZEV2/8002
