,subcounty_nhpi,db_id,id_within_district,HSD,Name,Level,Authority,Ownership,NHPI Code,HSDT Code,parish_level_fac_id,parish_nhpi,subcounty_nhpi_caller,subregion_name,district_name,county_name,subcounty_name,subcounty_nhpi_other,subcounty_full_hsdt_code
0,SCL79ULU0,1.0,1.0,Labwor HSD,Abim  General Hospital,Hospital,MOH,Govt,HFA6Q7GB2,SCL79ULU0/PA95VLAL8/8001,8001,PA95VLAL8,SCL79ULU0,,,,,,
9,SCL79ULU0,10.0,10.0,Labwor HSD,Kiru Health Centre II,HC II,MOH,Govt,HFCASI731,SCL79ULU0/PAL37W5L0/8001,8001,PAL37W5L0,SCL79ULU0,,,,,,
17,SCL79ULU0,18.0,18.0,Labwor HSD,Oscar Military Battalion Health Centre II,HC II,UPDF,Govt,HF8TSKOJ9,SCL79ULU0/PAYR6IVU0/8001,8001,PAYR6IVU0,SCL79ULU0,,,,,,
1,SC5AFV6Y8,2.0,2.0,Labwor HSD,Adea Health Centre II,HC II,MOH,Govt,HFZW8MEX9,SC5AFV6Y8/PALG8WW26/8001,8001,PALG8WW26,SC5AFV6Y8,,,,,,
8,SC5AFV6Y8,9.0,9.0,Labwor HSD,Katabok (Abim) Health Centre II,HC II,MOH,Govt,HFZE86YY7,SC5AFV6Y8/PAPPIFJD6/8001,8001,PAPPIFJD6,SC5AFV6Y8,,,,,,
11,SC5AFV6Y8,12.0,12.0,Labwor HSD,Morulem Health Centre III,HC III,UEC (UCMB),PNFP,HFJ5TUM41,SC5AFV6Y8/PAZKYRXI4/8001,8001,PAZKYRXI4,SC5AFV6Y8,,,,,,
13,SC5AFV6Y8,14.0,14.0,Labwor HSD,Obolokome Health Centre II,HC II,MOH,Govt,HFAODZK81,SC5AFV6Y8/PAYDHLFX0/8001,8001,PAYDHLFX0,SC5AFV6Y8,,,,,,
2,SC6R9JA36,3.0,3.0,Labwor HSD,Alerek Health Centre III,HC III,MOH,Govt,HF7929IC0,SC6R9JA36/PAPF4WK97/8001,8001,PAPF4WK97,SC6R9JA36,,,,,,
10,SC6R9JA36,11.0,11.0,Labwor HSD,Koya Health Centre II,HC II,MOH,Govt,HFVD3LFQ2,SC6R9JA36/PAA9JFIN4/8001,8001,PAA9JFIN4,SC6R9JA36,,,,,,
19,SC6R9JA36,20.0,20.0,Labwor HSD,Wilela Health Centre II,HC II,MOH,Govt,HFNOHLPF9,SC6R9JA36/PAGG6XUU8/8001,8001,PAGG6XUU8,SC6R9JA36,,,,,,
3,SC4CK4A96,4.0,4.0,Labwor HSD,Amita Health Centre II,HC II,MOH,Govt,HF6UQL949,SC4CK4A96/PAU7GHJT5/8001,8001,PAU7GHJT5,SC4CK4A96,,,,,,
4,SC4CK4A96,5.0,5.0,Labwor HSD,Atunga Health Centre II,HC II,MOH,Govt,HFVQXNJN9,SC4CK4A96/PA9LUCGP9/8001,8001,PA9LUCGP9,SC4CK4A96,,,,,,
7,SC4CK4A96,8.0,8.0,Labwor HSD,Kanu Health Centre II,HC II,UPMB,PNFP,HFHGZKEV7,SC4CK4A96/PAA9PZSO4/8001,8001,PAA9PZSO4,SC4CK4A96,,,,,,
5,SCWMDZEF2,6.0,6.0,Labwor HSD,Awach Health Centre II,HC II,MOH,Govt,HF5ZOVFS0,SCWMDZEF2/PAL7LLZT2/8001,8001,PAL7LLZT2,SCWMDZEF2,,,,,,
6,SCWMDZEF2,7.0,7.0,Labwor HSD,Gangming Health Centre II,HC II,MOH,Govt,HFX6RDUQ8,SCWMDZEF2/PA5JNW5M5/8001,8001,PA5JNW5M5,SCWMDZEF2,,,,,,
16,SCWMDZEF2,17.0,17.0,Labwor HSD,Orwamuge Health Centre III,HC III,MOH,Govt,HF7SPW7I5,SCWMDZEF2/PA6OI5R51/8001,8001,PA6OI5R51,SCWMDZEF2,,,,,,
