,#,subregion_name,district_name,county_name,subcounty_name,subcounty_nhpi,subcounty_full_hsdt_code
0,1,Karamoja,Abim District,Labwor County,Abim Subcounty,SC4CK4A96,DTA8PQKW0/CTQVBTT41/6006
1,2,Karamoja,Abim District,Labwor County,Abim Town Council,SCL79ULU0,DTA8PQKW0/CTQVBTT41/6005
2,3,Karamoja,Abim District,Labwor County,Alerek Subcounty,SC6R9JA36,DTA8PQKW0/CTQVBTT41/6004
3,4,Karamoja,Abim District,Labwor County,Lotuke Subcounty,SCWMDZEF2,DTA8PQKW0/CTQVBTT41/6003
4,5,Karamoja,Abim District,Labwor County,Morulem Subcounty,SC5AFV6Y8,DTA8PQKW0/CTQVBTT41/6002
5,6,Karamoja,Abim District,Labwor County,Nyakwae Subcounty,SCRLNVFI6,DTA8PQKW0/CTQVBTT41/6001
6,7,West Nile,Adjumani District,East Moyo County,Adjumani Town Council,SCUEWLBS0,DTFWL3PE8/CTSCOVNX8/6010
7,8,West Nile,Adjumani District,East Moyo County,Adropi Subcounty,SCTVTLD94,DTFWL3PE8/CTSCOVNX8/6009
8,9,West Nile,Adjumani District,East Moyo County,Arinyapi Subcounty,SCBHIWJ48,DTFWL3PE8/CTSCOVNX8/6008
9,10,West Nile,Adjumani District,East Moyo County,Ciforo Subcounty,SCKRIHM57,DTFWL3PE8/CTSCOVNX8/6007
10,11,West Nile,Adjumani District,East Moyo County,Dzaipi Subcounty,SC8DFHJP0,DTFWL3PE8/CTSCOVNX8/6006
11,12,West Nile,Adjumani District,East Moyo County,Itirikwa Subcounty,SCJHNFQB9,DTFWL3PE8/CTSCOVNX8/6005
12,13,West Nile,Adjumani District,East Moyo County,Ofua Subcounty,SCZCUDRN4,DTFWL3PE8/CTSCOVNX8/6004
13,14,West Nile,Adjumani District,East Moyo County,Pachara Subcounty,SCE8ALXE1,DTFWL3PE8/CTSCOVNX8/6003
14,15,West Nile,Adjumani District,East Moyo County,Pakele Subcounty,SCKSOLUN7,DTFWL3PE8/CTSCOVNX8/6002
15,16,West Nile,Adjumani District,East Moyo County,Ukusijoni Subcounty,SCB7US3P8,DTFWL3PE8/CTSCOVNX8/6001
16,17,Mid Northern,Agago District,Agago South County,Adilang Subcounty,SCFQWJWP3,DTNJ9HG89/CT22ZXLI8/6009
17,18,Mid Northern,Agago District,Agago South County,Agago Town Council,SCO5EXUV5,DTNJ9HG89/CT22ZXLI8/6008
18,19,Mid Northern,Agago District,Agago South County,Arum Subcounty,SCWUYEKW4,DTNJ9HG89/CT22ZXLI8/6007
19,20,Mid Northern,Agago District,Agago North County,Kalongo Town Council,SCGYJLFL0,DTNJ9HG89/CT7ZJY2D8/6006
20,21,Mid Northern,Agago District,Agago South County,Kotomor Subcounty,SCFVQTER3,DTNJ9HG89/CT22ZXLI8/6006
21,22,Mid Northern,Agago District,Agago South County,Lamiyo Subcounty,SCB6UNVP4,DTNJ9HG89/CT22ZXLI8/6005
22,23,Mid Northern,Agago District,Agago North County,Lapono Subcounty,SCZZE8KY3,DTNJ9HG89/CT7ZJY2D8/6005
23,24,Mid Northern,Agago District,Agago South County,Lira Palwo Subcounty,SCWKR3PY1,DTNJ9HG89/CT22ZXLI8/6004
24,25,Mid Northern,Agago District,Agago South County,Lukole Subcounty,SCELPSWX8,DTNJ9HG89/CT22ZXLI8/6003
25,26,Mid Northern,Agago District,Agago North County,Omiya Pachwa Subcounty,SCTRM2XP2,DTNJ9HG89/CT7ZJY2D8/6004
26,27,Mid Northern,Agago District,Agago South County,Omot Subcounty,SCXYUK6A1,DTNJ9HG89/CT22ZXLI8/6002
27,28,Mid Northern,Agago District,Agago North County,Paimol Subcounty,SCENPLBW0,DTNJ9HG89/CT7ZJY2D8/6003
28,29,Mid Northern,Agago District,Agago North County,Parabongo Subcounty,SCJDZKSB5,DTNJ9HG89/CT7ZJY2D8/6002
29,30,Mid Northern,Agago District,Agago South County,Patongo Town Council,SCDBRX945,DTNJ9HG89/CT22ZXLI8/6001
30,31,Mid Northern,Agago District,Agago North County,Wol Subcounty,SCSVQNLM5,DTNJ9HG89/CT7ZJY2D8/6001
31,32,Mid Northern,Alebtong District,Moroto County,Abako Subcounty,SCQXTPQ83,DT3RG6345/CTZEXEF21/6009
32,33,Mid Northern,Alebtong District,Moroto County,Abia Subcounty,SCSSNDFJ8,DT3RG6345/CTZEXEF21/6008
33,34,Mid Northern,Alebtong District,Moroto County,Akura Subcounty,SCVPVRMB9,DT3RG6345/CTZEXEF21/6007
34,35,Mid Northern,Alebtong District,Moroto County,Alebtong Subcounty,SCPKZ8T53,DT3RG6345/CTZEXEF21/6006
35,36,Mid Northern,Alebtong District,Moroto County,Aloi Subcounty,SCCB3A783,DT3RG6345/CTZEXEF21/6005
36,37,Mid Northern,Alebtong District,Moroto County,Amugo Subcounty,SCH3UKXW6,DT3RG6345/CTZEXEF21/6004
37,38,Mid Northern,Alebtong District,Moroto County,Apala Subcounty,SCISN7DA4,DT3RG6345/CTZEXEF21/6003
